Date,Price,Open,High,Low,Vol.,Change %
20/12/2022,1.4972,1.4926,1.5087,1.4827,146.66K,0.33%
19/12/2022,1.4923,1.4895,1.4965,1.4851,119.90K,-0.23%
16/12/2022,1.4957,1.4921,1.4981,1.4843,105.37K,0.25%
15/12/2022,1.4919,1.4569,1.4979,1.4555,122.85K,2.42%
14/12/2022,1.4567,1.459,1.4685,1.453,127.78K,-0.14%
13/12/2022,1.4588,1.4827,1.4839,1.4504,113.67K,-1.57%
12/12/2022,1.4821,1.4698,1.4862,1.4692,103.28K,0.74%
9/12/2022,1.4712,1.4777,1.4828,1.4675,116.46K,-0.40%
8/12/2022,1.4771,1.4872,1.493,1.4745,125.01K,-0.63%
7/12/2022,1.4865,1.4941,1.4998,1.4829,138.90K,-0.50%
6/12/2022,1.4939,1.4926,1.4969,1.4825,125.10K,0.07%
5/12/2022,1.4928,1.47,1.4956,1.4596,128.79K,1.38%
2/12/2022,1.4725,1.4684,1.483,1.4625,122.79K,0.32%
1/12/2022,1.4678,1.4739,1.4748,1.4608,148.63K,-0.37%
30/11/2022,1.4732,1.4952,1.4993,1.4703,133.56K,-1.45%
29/11/2022,1.4948,1.5039,1.5062,1.4815,109.36K,-0.55%
28/11/2022,1.5031,1.485,1.5057,1.4843,108.21K,1.51%
25/11/2022,1.4808,1.4784,1.4881,1.4745,88.78K,0.18%
24/11/2022,1.4782,1.4856,1.4869,1.4751,85.98K,-0.47%
23/11/2022,1.4852,1.504,1.5075,1.4838,90.96K,-1.24%
22/11/2022,1.5038,1.5147,1.5153,1.503,103.63K,-0.64%
21/11/2022,1.5135,1.4978,1.5187,1.4952,118.85K,0.99%
18/11/2022,1.4986,1.4959,1.5013,1.4856,122.37K,0.15%
17/11/2022,1.4963,1.4845,1.5075,1.4809,131.61K,0.88%
16/11/2022,1.4832,1.4815,1.4882,1.4719,136.05K,0.24%
15/11/2022,1.4797,1.4921,1.4959,1.471,144.04K,-0.89%
14/11/2022,1.493,1.492,1.5009,1.4869,133.79K,0.09%
11/11/2022,1.4916,1.5108,1.5203,1.4886,123.57K,-1.27%
10/11/2022,1.5108,1.5551,1.566,1.5078,121.09K,-2.82%
9/11/2022,1.5547,1.5375,1.559,1.533,111.96K,1.13%
8/11/2022,1.5373,1.5434,1.5519,1.5261,115.29K,-0.38%
7/11/2022,1.5432,1.558,1.5623,1.5403,135.57K,-0.19%
4/11/2022,1.5461,1.59,1.5913,1.5423,129.99K,-2.77%
3/11/2022,1.5901,1.5742,1.5945,1.5691,111.93K,1.04%
2/11/2022,1.5738,1.5634,1.5755,1.5402,112.94K,0.68%
1/11/2022,1.5632,1.5626,1.5682,1.5468,116.19K,0.04%
31/10/2022,1.5625,1.5605,1.5704,1.5553,117.27K,0.21%
28/10/2022,1.5593,1.5502,1.5653,1.5431,115.99K,0.59%
27/10/2022,1.5501,1.5389,1.5565,1.5328,137.13K,0.74%
26/10/2022,1.5387,1.5642,1.5694,1.5355,121.13K,-1.59%
25/10/2022,1.5635,1.5841,1.5867,1.5592,114.58K,-1.25%
24/10/2022,1.5833,1.568,1.5945,1.5596,144.08K,1.00%
